,v0151_etra_frequencytravel1_num,GV_230#11,v0013_demo_agecat_num,GV_133#11,v9990_demo_income2gbr_num,GV_31#9,GV_14#99,GV_230#2,v0152_etra_frequencytravel2_num,v0157_etra_brandsflights#2,GV_163#97,GV_174#26,GV_174#41,GV_339#9999,GV_230#1,GV_136#22,GV_132#1,GV_136#25,GV_174#69,GV_31#4,GV_230#19,lives_in_england,GV_198#17,GV_198#20,v9992_demo_migration#1,GV_163#7,GV_133#5,GV_227#1,GV_163#110,GV_136#28,wave
0,2.0,-99.0,55.0,-99.0,43.0,0.0,0.0,-99.0,0.0,-99.0,1.0,1.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,1.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,0.0,-99.0,1.0
1,2.0,0.0,45.0,1.0,43.0,0.0,-99.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2,2.0,0.0,25.0,0.0,31.0,0.0,1.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,2.0,1.0,25.0,0.0,22.0,1.0,0.0,0.0,0.0,-99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,2.0,0.0,55.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2.0,-99.0,45.0,-99.0,15.0,-99.0,0.0,-99.0,0.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,1.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,1.0
6,2.0,0.0,45.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-99.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7,2.0,-99.0,18.0,0.0,22.0,0.0,1.0,-99.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,1.0,-99.0,1.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,1.0
8,2.0,0.0,45.0,-99.0,57.0,-99.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,1.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
9,2.0,-99.0,45.0,-99.0,22.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
10,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,1.0,0.0,-99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,1.0
11,2.0,0.0,18.0,1.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,2.0,0.0,55.0,1.0,123.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,2.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14,2.0,-99.0,35.0,0.0,48.4,1.0,1.0,-99.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,1.0
15,2.0,1.0,55.0,0.0,43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,2.0,0.0,55.0,0.0,22.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,2.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
18,2.0,-99.0,18.0,-99.0,57.0,-99.0,1.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,-99.0,1.0
19,2.0,-99.0,25.0,-99.0,43.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
20,2.0,1.0,25.0,0.0,48.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21,2.0,-99.0,55.0,-99.0,48.4,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
22,2.0,-99.0,35.0,-99.0,22.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
23,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,2.0,0.0,55.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
25,2.0,0.0,55.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26,2.0,0.0,35.0,1.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,2.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,-99.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
